Behnke10;125.0
Behnke11;228.0
Behnke12;223.0
Behnke13;234.0
Behnke14;238.0
Behnke15;233.0
Behnke16;416.0
Behnke17;402.0
Behnke18;399.0
Behnke19;397.0
Behnke1;85.0
Behnke20;403.0
Behnke21;81.0
Behnke22;81.0
Behnke23;79.0
Behnke24;80.0
Behnke25;79.0
Behnke26;107.0
Behnke27;119.0
Behnke28;111.0
Behnke29;112.0
Behnke2;86.0
Behnke30;114.0
Behnke31;226.0
Behnke32;218.0
Behnke33;219.0
Behnke34;213.0
Behnke35;208.0
Behnke36;423.0
Behnke37;419.0
Behnke38;419.0
Behnke39;435.0
Behnke3;86.0
Behnke40;441.0
Behnke41;81.0
Behnke42;82.0
Behnke43;80.0
Behnke44;79.0
Behnke45;80.0
Behnke46;108.0
Behnke47;115.0
Behnke48;117.0
Behnke49;107.0
Behnke4;90.0
Behnke50;118.0
Behnke51;234.0
Behnke52;234.0
Behnke53;229.0
Behnke54;254.0
Behnke55;237.0
Behnke56;483.0
Behnke57;523.0
Behnke58;445.0
Behnke59;429.0
Behnke5;85.0
Behnke60;431.0
Behnke6;117.0
Behnke7;119.0
Behnke8;119.0
Behnke9;121.0
BrandimarteMk11;586.0
BrandimarteMk12;471.0
BrandimarteMk13;402.0
BrandimarteMk14;640.0
BrandimarteMk15;328.0
BrandimarteMk1;38.0
BrandimarteMk2;26.0
BrandimarteMk3;184.0
BrandimarteMk4;56.0
BrandimarteMk5;166.0
BrandimarteMk6;58.0
BrandimarteMk7;137.0
BrandimarteMk9;287.0
Hurinksdata10;831.0
Hurinksdata11;822.0
Hurinksdata12;888.0
Hurinksdata13;904.0
Hurinksdata14;1145.0
Hurinksdata15;995.0
Hurinksdata16;1112.0
Hurinksdata17;1251.0
Hurinksdata18;1138.0
Hurinksdata19;907.0
Hurinksdata1;52.0
Hurinksdata20;724.0
Hurinksdata21;796.0
Hurinksdata22;800.0
Hurinksdata23;847.0
Hurinksdata24;1031.0
Hurinksdata25;869.0
Hurinksdata26;951.0
Hurinksdata27;924.0
Hurinksdata28;909.0
Hurinksdata29;1202.0
Hurinksdata2;894.0
Hurinksdata30;1192.0
Hurinksdata31;1212.0
Hurinksdata32;1146.0
Hurinksdata33;1248.0
Hurinksdata34;1647.0
Hurinksdata35;1718.0
Hurinksdata36;1600.0
Hurinksdata37;1600.0
Hurinksdata38;1738.0
Hurinksdata39;1192.0
Hurinksdata3;1106.0
Hurinksdata40;1329.0
Hurinksdata41;1156.0
Hurinksdata42;1168.0
Hurinksdata43;1175.0
Hurinksdata44;1135.0
Hurinksdata45;886.0
Hurinksdata46;646.0
Hurinksdata47;676.0
Hurinksdata48;689.0
Hurinksdata49;6687.0
Hurinksdata4;622.0
Hurinksdata50;6730.0
Hurinksdata51;7141.0
Hurinksdata52;7493.0
Hurinksdata53;7376.0
Hurinksdata54;7830.0
Hurinksdata55;6244.0
Hurinksdata56;7916.0
Hurinksdata57;1033.0
Hurinksdata58;837.0
Hurinksdata59;976.0
Hurinksdata5;631.0
Hurinksdata60;960.0
Hurinksdata61;832.0
Hurinksdata62;951.0
Hurinksdata63;386.0
Hurinksdata64;855.0
Hurinksdata65;882.0
Hurinksdata66;877.0
Hurinksdata6;574.0
Hurinksdata7;550.0
Hurinksdata8;565.0
Hurinksdata9;867.0
Hurinkedata10;741.0
Hurinkedata11;817.0
Hurinkedata12;855.0
Hurinkedata13;820.0
Hurinkedata14;1058.0
Hurinkedata15;919.0
Hurinkedata16;988.0
Hurinkedata17;1077.0
Hurinkedata18;1065.0
Hurinkedata19;836.0
Hurinkedata1;51.0
Hurinkedata20;659.0
Hurinkedata21;781.0
Hurinkedata22;738.0
Hurinkedata23;821.0
Hurinkedata24;990.0
Hurinkedata25;850.0
Hurinkedata26;942.0
Hurinkedata27;886.0
Hurinkedata28;891.0
Hurinkedata29;1101.0
Hurinkedata2;825.0
Hurinkedata30;1174.0
Hurinkedata31;1128.0
Hurinkedata32;1104.0
Hurinkedata33;1191.0
Hurinkedata34;1528.0
Hurinkedata35;1644.0
Hurinkedata36;1498.0
Hurinkedata37;1580.0
Hurinkedata38;1665.0
Hurinkedata39;1120.0
Hurinkedata3;1055.0
Hurinkedata40;1317.0
Hurinkedata41;1138.0
Hurinkedata42;1133.0
Hurinkedata43;1101.0
Hurinkedata44;1117.0
Hurinkedata45;884.0
Hurinkedata46;623.0
Hurinkedata47;635.0
Hurinkedata48;627.0
Hurinkedata49;6007.0
Hurinkedata4;569.0
Hurinkedata50;6223.0
Hurinkedata51;6524.0
Hurinkedata52;7396.0
Hurinkedata53;6832.0
Hurinkedata54;7504.0
Hurinkedata55;5868.0
Hurinkedata56;7042.0
Hurinkedata57;924.0
Hurinkedata58;826.0
Hurinkedata59;910.0
Hurinkedata5;620.0
Hurinkedata60;948.0
Hurinkedata61;812.0
Hurinkedata62;916.0
Hurinkedata63;366.0
Hurinkedata64;832.0
Hurinkedata65;885.0
Hurinkedata66;893.0
Hurinkedata6;541.0
Hurinkedata7;538.0
Hurinkedata8;481.0
Hurinkedata9;784.0
Hurinkrdata10;711.0
Hurinkrdata11;726.0
Hurinkrdata12;809.0
Hurinkrdata13;767.0
Hurinkrdata14;1018.0
Hurinkrdata15;887.0
Hurinkrdata16;981.0
Hurinkrdata17;1021.0
Hurinkrdata18;1033.0
Hurinkrdata19;656.0
Hurinkrdata1;44.0
Hurinkrdata20;593.0
Hurinkrdata21;624.0
Hurinkrdata22;663.0
Hurinkrdata23;709.0
Hurinkrdata24;819.0
Hurinkrdata25;741.0
Hurinkrdata26;825.0
Hurinkrdata27;772.0
Hurinkrdata28;775.0
Hurinkrdata29;1024.0
Hurinkrdata2;651.0
Hurinkrdata30;1062.0
Hurinkrdata31;1051.0
